Component;ID;Quantity;Description;regola;Price
Controller;5551000;1;CTRL Traction 6.5 Kilowatt with Monophase Door Drive;DRIVE_TYPE = Traction and COUNTRY = (ES, FR) and KILOWATT = 6.5 and DOOR_DRIVE = MONOPHASE;1500
Controller;;;KIT floor;FLOORS = 5;500
Controller;51993299;1;BX07 CCU - Parallel Interface - Socket C;" GRP_COUNTRY_INST = FR 
and 
LOC_DOOR_DRIVE_TYPE = (QKS9_1, VD30, VD30_IDD_P, VD20, VD20_HT, QKS9VF, DO_DSF_9_400, DO_DSF_9_230, WITTUR_DC, WITT_DC_HT, WITTUR_RCF1, LUST_QKS9, LUST_QKS8, LUST_QKS8_400, LUST_QK8, LUST_QK8_400, LUST_QKS6, VD20_M, WITTUR_MOSQ, WITT_MOSQ_HT, WITTUR_FLASH, WITTUR_TVLD, WITT_ECO, WITT_ECO_HT, WITT_MIDI, WITT_MIDI_HT, WITT_SUPRA, WITT_SUPRA_HT, LUST_QKS11, SLYCMA_VF, PEIGNEN_CAVP_230, KIEK_TMS2, SLYCMA_PLY, SEMATIC_F28_29, SEMATIC_SYSTEM_3_0, SEMATIC_ENCODER, SEMATIC_ENCODER_HT, SEMATIC_SYSTEM_3_0_HT, SEMATIC_C_MOD, SEMATIC_C_MOD_HT, SIEMENS_AT15_25, SIEMENS_AT20, SIEMENS_AT40, SIEMENS_AT15_25_HT, SIEMENS_AT20_HT, SIEMENS_AT40_HT, FERMATOR_VVVF, FERMATOR_HT, FERMATOR_VVVF4, FERMATOR_VVVF4_HT, WITTUR_BUS, SELCOM_3410_HT, PEIGNEN_3VOL_400, SLYCMA_ARIANE, SLYCMA_ARIANE_HT, HAUSHAHN_TS54_70_AT25, FERMATOR_FOLD_C2T, FERMATOR_FOLD_C3T,
FERMATOR_FOLD_ECC, OTIS_6970A_DC,  OTIS_OVL_DC, OTIS_RMDS_DC, SELCOM_DC, SELCOM_VF, SEMATIC_SYSTEM_4_0, SEMATIC_SYSTEM_4_0_HT, DO_SEC_4_0, DO_SEC_4_0_HT, DO_MIDRIVE, DO_MIDRIVE_HT )";1600
Controller;5551002;1;CTRL Traction 16.1 Kilowatt with Monophase Door Drive;DRIVE_TYPE = Traction and COUNTRY = (ES, FR) and KILOWATT = 16.1 and DOOR_DRIVE = MONOPHASE;1700
Controller;5551003;1;CTRL Traction 6.5 Kilowatt with Triphase Door Drive;DRIVE_TYPE = Traction and COUNTRY = (ES, FR) and KILOWATT = 6.5 and DOOR_DRIVE = TRIPHASE;1550
Controller;5551004;1;CTRL Traction 11.1 Kilowatt with Triphase Door Drive;DRIVE_TYPE = Traction and COUNTRY = (ES, FR) and KILOWATT = 11.1 and DOOR_DRIVE = TRIPHASE;1650
Controller;5551005;1;CTRL Traction 16.1 Kilowatt with Triphase Door Drive;DRIVE_TYPE = Traction and COUNTRY = (ES, FR) and KILOWATT = 16.1 and DOOR_DRIVE = TRIPHASE;1750
Controller;5551006;1;CTRL Traction 6.5 Kilowatt with Monophase Door Drive;DRIVE_TYPE = Traction and COUNTRY = IT and KILOWATT = 6.5 and DOOR_DRIVE = MONOPHASE;1620
Controller;5551007;1;CTRL Traction 11.1 Kilowatt with Monophase Door Drive;DRIVE_TYPE = Traction and COUNTRY = IT and KILOWATT = 11.1 and DOOR_DRIVE = MONOPHASE;1720
Controller;5551008;1;CTRL Traction 16.1 Kilowatt with Monophase Door Drive;DRIVE_TYPE = Traction and COUNTRY = IT and KILOWATT = 16.1 and DOOR_DRIVE = MONOPHASE;1840
Controller;5551009;1;CTRL Traction 6.5 Kilowatt with Triphase Door Drive;DRIVE_TYPE = Traction and COUNTRY = IT and KILOWATT = 6.5 and DOOR_DRIVE = TRIPHASE;1670
Controller;5551010;1;CTRL Traction 11.1 Kilowatt with Triphase Door Drive;DRIVE_TYPE = Traction and COUNTRY = IT and KILOWATT = 11.1 and DOOR_DRIVE = TRIPHASE;1810
Controller;5551011;1;CTRL Traction 16.1 Kilowatt with Triphase Door Drive;DRIVE_TYPE = Traction and COUNTRY = IT and KILOWATT = 16.1 and DOOR_DRIVE = TRIPHASE;1900
Cop;5552000;1;COP for 2 floors with MAIN FLOOR = 0 Designations: 0, 1;FLOORS = 2 and LOWEST_DESIGNATION = 0;300
Cop;5552001;1;COP for 2 floors with MAIN FLOOR = 0 Designations: -1, 0;FLOORS = 2 and LOWEST_DESIGNATION = -1;300
Cop;5552002;1;COP for 3 floors with MAIN FLOOR = 0 Designations: 0, 1, 2;FLOORS = 3 and LOWEST_DESIGNATION = 0;320
Cop;5552003;1;COP for 3 floors with MAIN FLOOR = 0 Designations: -1, 0, 1;FLOORS = 3 and LOWEST_DESIGNATION = -1;320
Cop;5552004;1;COP for 3 floors with MAIN FLOOR = 0 Designations: -2, -1, 0;FLOORS = 3 and LOWEST_DESIGNATION = -2;320
Cop;5552005;1;COP for 4 floors with MAIN FLOOR = 0 Designations: 0, 1, 2, 3;FLOORS = 4 and LOWEST_DESIGNATION = 0;330
Cop;5552006;1;COP for 4 floors with MAIN FLOOR = 0 Designations: -1, 0, 1, 2;FLOORS = 4 and LOWEST_DESIGNATION = -1;330
Cop;5552007;1;COP for 4 floors with MAIN FLOOR = 0 Designations: -2, -1, 0, 1;FLOORS = 4 and LOWEST_DESIGNATION = -2;330
Cop;5552008;1;COP for 5 floors with MAIN FLOOR = 0 Designations: 0, 1, 2, 3, 4;FLOORS = 5 and LOWEST_DESIGNATION = 0;340
Cop;5552009;1;COP for 5 floors with MAIN FLOOR = 0 Designations: -1, 0, 1, 2, 3;FLOORS = 5 and LOWEST_DESIGNATION = -1;340
Cop;5552010;1;COP for 5 floors with MAIN FLOOR = 0 Designations: -2, -1, 0, 1, 2;FLOORS = 5 and LOWEST_DESIGNATION = -2;340
Cop;5552011;1;COP for 6 floors with MAIN FLOOR = 0 Designations: 0, 1, 2, 3, 4, 5;FLOORS = 6 and LOWEST_DESIGNATION = 0;350
Cop;5552012;1;COP for 6 floors with MAIN FLOOR = 0 Designations: -1, 0, 1, 2, 3, 4;FLOORS = 6 and LOWEST_DESIGNATION = -1;350
Cop;5552013;1;COP for 6 floors with MAIN FLOOR = 0 Designations: -2, -1, 0, 1, 2, 3;FLOORS = 6 and LOWEST_DESIGNATION = -2;350
Cop;5552014;1;COP for 7 floors with MAIN FLOOR = 0 Designations: 0, 1, 2, 3, 4, 5, 6;FLOORS = 7 and LOWEST_DESIGNATION = 0;360
Cop;5552015;1;COP for 7 floors with MAIN FLOOR = 0 Designations: -1, 0, 1, 2, 3, 4, 5;FLOORS = 7 and LOWEST_DESIGNATION = -1;360
